data,periodo,cliente_id,tipo_cardapio,prato,sobremesa,bebida,valor_total,forma_pagamento,tempo_preparo,tempo_atendimento,avaliacao,cancelado,ano,mes
2024-03-01 11:59:00,Dia,864,Self-service,Self-service,Picolé / sorvete simples,Maracujá,38.49,Crédito,33,10,5,False,2024,3
2024-03-01 13:48:00,Dia,424,Self-service,Self-service,Nenhuma,Acerola,34.0,Crédito,38,7,5,False,2024,3
2024-03-01 11:35:00,Dia,3698,Self-service,Self-service,Nenhuma,Acerola,34.0,Débito,35,5,4,False,2024,3
2024-03-01 11:26:00,Dia,1090,Self-service,Self-service,Nenhuma,Sprite,32.0,Pix,38,9,4,False,2024,3
2024-03-01 14:27:00,Dia,3591,Self-service,Self-service,Nenhuma,Fanta Uva,32.0,Crédito,39,9,4,False,2024,3
2024-03-01 15:49:00,Dia,5163,Self-service,Self-service,Nenhuma,Fanta Uva,32.0,Crédito,32,7,4,False,2024,3
2024-03-01 13:42:00,Dia,1547,Self-service,Self-service,Nenhuma,Maracujá,34.0,Débito,36,7,5,False,2024,3
2024-03-01 14:32:00,Dia,2181,Self-service,Self-service,Mousse de chocolate,Nenhuma,31.99,Crédito,33,9,5,False,2024,3
2024-03-01 13:47:00,Dia,3393,Self-service,Self-service,Nenhuma,Fanta Uva,32.0,Crédito,35,10,5,False,2024,3
2024-03-01 13:53:00,Dia,1616,Self-service,Self-service,Nenhuma,Coca-Cola,32.0,Pix,33,8,5,False,2024,3
2024-03-01 12:59:00,Dia,5429,Self-service,Self-service,Nenhuma,Maracujá,34.0,Débito,40,10,3,False,2024,3
2024-03-01 13:15:00,Dia,967,Self-service,Self-service,Nenhuma,Sprite,32.0,Pix,33,6,4,False,2024,3
2024-03-01 11:36:00,Dia,55,Self-service,Self-service,Nenhuma,Fanta Uva,32.0,Débito,37,9,5,False,2024,3
2024-03-01 12:33:00,Dia,5248,Self-service,Self-service,Nenhuma,Nenhuma,26.0,Débito,31,10,5,False,2024,3
2024-03-01 15:37:00,Dia,4774,Self-service,Self-service,Nenhuma,Maracujá,34.0,Dinheiro,37,10,4,False,2024,3
2024-03-01 11:32:00,Dia,2367,Self-service,Self-service,Mousse de maracujá,Maracujá,39.99,Dinheiro,39,10,5,False,2024,3
2024-03-01 12:07:00,Dia,4041,Self-service,Self-service,Nenhuma,Fanta,38.0,Débito,39,10,5,False,2024,3
2024-03-01 14:45:00,Dia,4136,Self-service,Self-service,Mousse de maracujá,Guaraná Antarctica,37.99,Débito,32,10,5,False,2024,3
2024-03-01 15:30:00,Dia,5368,Self-service,Self-service,Nenhuma,Guaraná Antarctica,32.0,Débito,40,8,4,False,2024,3
2024-03-01 14:58:00,Dia,3166,Self-service,Self-service,Nenhuma,Coca-Cola,32.0,Crédito,40,5,5,False,2024,3
2024-03-01 15:18:00,Dia,2428,Self-service,Self-service,Nenhuma,Pepsi,32.0,Dinheiro,34,6,4,False,2024,3
2024-03-01 11:27:00,Dia,886,Self-service,Self-service,Pudim de leite,Acerola,39.99,Pix,38,5,5,False,2024,3
2024-03-01 14:01:00,Dia,1160,Self-service,Self-service,Nenhuma,Acerola,34.0,Dinheiro,35,8,5,False,2024,3
2024-03-01 12:35:00,Dia,1735,Self-service,Self-service,Nenhuma,Nenhuma,26.0,Pix,37,6,4,False,2024,3
2024-03-01 15:48:00,Dia,3153,Self-service,Self-service,Pudim de leite,Fanta Laranja,37.99,Crédito,32,10,4,False,2024,3
2024-03-01 15:15:00,Dia,4410,Self-service,Self-service,Nenhuma,Abacaxi com hortelã,34.0,Dinheiro,35,10,4,False,2024,3
2024-03-01 13:34:00,Dia,798,Self-service,Self-service,Nenhuma,Sprite,32.0,Crédito,33,5,5,False,2024,3
2024-03-01 15:47:00,Dia,4883,Self-service,Self-service,Mousse de chocolate,Coca-Cola,43.99,Crédito,33,8,5,False,2024,3
2024-03-01 13:17:00,Dia,4561,Self-service,Self-service,Nenhuma,Fanta Uva,32.0,Débito,40,10,4,False,2024,3
2024-03-01 11:37:00,Dia,1974,Self-service,Self-service,Pudim de leite,Fanta Laranja,37.99,Débito,36,7,5,False,2024,3
2024-03-01 12:05:00,Dia,496,Self-service,Self-service,Nenhuma,Maracujá,34.0,Dinheiro,40,9,5,False,2024,3
2024-03-01 13:52:00,Dia,5173,Self-service,Self-service,Nenhuma,Pepsi,32.0,Pix,35,7,5,False,2024,3
2024-03-01 15:37:00,Dia,919,Self-service,Self-service,Nenhuma,Água,30.0,Crédito,38,5,5,False,2024,3
2024-03-01 13:16:00,Dia,2511,Self-service,Self-service,Picolé / sorvete simples,Pepsi,36.49,Débito,37,10,5,False,2024,3
2024-03-01 13:51:00,Dia,325,Self-service,Self-service,Nenhuma,Abacaxi com hortelã,34.0,Pix,32,5,5,False,2024,3
2024-03-01 11:37:00,Dia,956,Self-service,Self-service,Mousse de chocolate,Acerola,39.99,Crédito,30,7,5,False,2024,3
2024-03-01 13:49:00,Dia,5931,Self-service,Self-service,Picolé / sorvete simples,Fanta Uva,36.49,Crédito,32,6,4,False,2024,3
2024-03-01 11:02:00,Dia,582,Self-service,Self-service,Nenhuma,Acerola,34.0,Pix,37,8,5,False,2024,3
2024-03-01 14:49:00,Dia,1855,Self-service,Self-service,Mousse de maracujá,Acerola,39.99,Crédito,32,8,5,False,2024,3
2024-03-01 13:32:00,Dia,3626,Self-service,Self-service,Nenhuma,Abacaxi com hortelã,34.0,Pix,31,9,4,False,2024,3
2024-03-01 15:37:00,Dia,518,Self-service,Self-service,Mousse de chocolate,Nenhuma,31.99,Pix,37,9,5,False,2024,3
